,uid,time_to_play,active_time,high_level,predictions,days_to_churn,warning
1365,FjAl0C9ttkS8fhi6R0o1ccc3l9V2,0.0,4732.1900000000005,0.0,True,6 days 01:33:00.723149,player does not play!
1375,FpTH05GMS5V333qDIXW2ZtEcYuq1,4.38,7336.26,32.0,True,6 days 18:39:04.723149,"this player play time is only 0.43% of average, churn level is 1959.52"
1382,Fw7lLiW9RQaQD9btmKmFm09de3h1,7.13,5142.099999999999,18.0,True,5 days 08:52:12.723149,"this player play time is only 1.0% of average, churn level is 59.32"
1387,FxphIETsB4gV4aEhrrOmAZNsv5B2,0.0,9140.56,0.0,True,6 days 01:58:28.723149,player does not play!
1395,G686tCwGLvhk9lNdMUVrs6oUXwh2,2.55,7123.57,42.0,True,6 days 07:38:59.723149,"this player play time is only 0.26% of average, churn level is 10526.31"
1424,GRBrWwtFS7WW1V5AbzxSo5p6mBw2,0.0,5819.96,0.0,True,6 days 07:16:53.724148,player does not play!
1446,GjOB52xRQZgtIMU9fFw7lHS249u1,0.0,6159.55,0.0,True,5 days 01:12:45.724148,player does not play!
1461,GzGcIAEjxIgjcN26tGK3qhjtWvH3,0.0,6449.58,0.0,True,6 days 11:03:02.724148,player does not play!
1463,GzVY8PicqEh4ZNVXLGubKBZ98vl2,0.0,7311.96,0.0,True,6 days 02:54:35.724148,player does not play!
1477,HAcTJ85tkIdcTNn49KoWXyv8D3i2,0.0,6100.24,0.0,True,5 days 23:54:27.724148,player does not play!
1489,HE9oaD12zKQhq7tMkX7EUCfq3Kd2,0.0,5287.099999999999,0.0,True,6 days 02:54:50.725147,player does not play!
1496,HKNa1M1H8qOE1bxvilVrg3tWyZI2,0.0,7319.62,0.0,True,4 days 16:34:32.725147,player does not play!
1500,HLu570c25mduhtmeGQuXqsXCrqm2,0.0,4255.88,0.0,True,8 days 08:14:04.725147,player does not play!
1545,HstNWNj3DUWrKuxjW8zL9gAP68N2,3.83,5348.25,320.0,True,5 days 05:18:59.726111,"this player play time is only 0.52% of average, win 0.0% of average, churn level is 246625.32"
